,country,type,scrap_sum,year,Strategy type,recycling_m,CO2,CO2_em
271,Turkey,NMC111,520.1434446678104,2023,Strategy 3,Direct,2.5573470780000003,1330.1873183620798
272,Turkey,NMC622,96.34370161870154,2023,Strategy 3,Direct,2.478807863,238.81752512296322
273,Turkey,NMC811,25.561555986754293,2023,Strategy 3,Direct,2.397518212,61.28429600530105
274,Turkey,NMC523,282.68988972657735,2023,Strategy 3,Direct,2.496014242,705.5979908269466
275,Turkey,NCA,871.7200772957652,2023,Strategy 3,Direct,2.452491446,2137.886032874323
276,USA,LFP,70.838781991733,2023,Strategy 3,Direct,2.252335332,159.55269155582556
277,USA,NMC111,3826.2832205831037,2023,Strategy 3,Direct,2.5573470780000003,9785.13421375863
278,USA,NMC622,840.0079014644235,2023,Strategy 3,Direct,2.478807863,2082.2181911321422
279,USA,NMC811,252.585935950384,2023,Strategy 3,Direct,2.397518212,605.5793815361112
280,USA,NMC523,2498.438323089068,2023,Strategy 3,Direct,2.496014242,6236.137637188912
281,USA,NCA,20817.66354004909,2023,Strategy 3,Direct,2.452491446,51055.141757676465
282,Canada,LFP,1.479902374069103,2023,Strategy 3,Direct,2.252335332,3.3332364050265215
283,Canada,NMC111,475.87351833346827,2023,Strategy 3,Direct,2.5573470780000003,1216.9737516076746
