,country,type,scrap_sum,year,Strategy type
451,Canada,NMC111,475.87351833346827,2023,Strategy 1
452,Canada,NMC622,129.9374654866231,2023,Strategy 1
453,Canada,NMC811,43.02047123609268,2023,Strategy 1
454,Canada,NMC523,343.0089614010258,2023,Strategy 1
455,Canada,NCA,948.7503487236388,2023,Strategy 1
456,Brazil,LFP,1.4229203475426893,2023,Strategy 1
457,Brazil,NMC111,15.905190283314633,2023,Strategy 1
458,Brazil,NMC622,7.675899848056379,2023,Strategy 1
459,Brazil,NMC811,4.777010401029409,2023,Strategy 1
460,Brazil,NMC523,16.600186517818152,2023,Strategy 1
461,Brazil,NCA,50.4550385578365,2023,Strategy 1
462,Australia,LFP,0.3074850591695931,2023,Strategy 1
463,Australia,NMC111,64.68960957252327,2023,Strategy 1
464,Australia,NMC622,18.41597867148812,2023,Strategy 1
465,Australia,NMC811,6.852600902370068,2023,Strategy 1
466,Australia,NMC523,46.72953051060813,2023,Strategy 1
467,Australia,NCA,139.2256597115855,2023,Strategy 1
468,Czechia,LFP,0.44587484266791455,2023,Strategy 1
